time_step,p_value,p_corr,signif
time_0,3.732084298849834e-09,4.777067902527787e-07,True
time_1,1.098279545021103e-09,1.405797817627012e-07,True
time_2,6.865741145002864e-10,8.788148665603666e-08,True
time_3,7.533126426270512e-10,9.642401825626256e-08,True
time_4,2.5169482698392288e-09,3.221693785394213e-07,True
time_5,4.036628922811231e-08,5.166885021198375e-06,True
time_6,4.3703880266726254e-07,5.5940966741409605e-05,True
time_7,7.996530637392348e-06,0.0010235559215862205,True
time_8,3.1643688229410035e-06,0.00040503920933644845,True
time_9,1.4668039873913064e-06,0.00018775091038608722,True
time_10,1.2408081250168705e-06,0.00015882344000215943,True
time_11,1.946518660390634e-06,0.00024915438853000116,True
time_12,1.8646977494767713e-05,0.0023868131193302672,True
time_13,0.00025144204198567817,0.032184581374166805,True
time_14,0.0038684291469035046,0.4951589308036486,False
time_15,0.03377433742616688,1.0,False
time_16,0.1259055390905056,1.0,False
time_17,0.2010861112362612,1.0,False
time_18,0.42207867446598557,1.0,False
time_19,0.7945646413710526,1.0,False
time_20,0.7371154045749759,1.0,False
time_21,0.3573636372940424,1.0,False
time_22,0.20249252281984986,1.0,False
time_23,0.153735681627124,1.0,False
time_24,0.07144384744942926,1.0,False
time_25,0.05492921469532417,1.0,False
time_26,0.030913707672712842,1.0,False
time_27,0.014529090029845558,1.0,False
time_28,0.0051446455708255324,0.6585146330656682,False
time_29,0.0005189750823735228,0.06642881054381092,False
time_30,4.954304960922146e-05,0.006341510349980347,True
time_31,1.2658208183820028e-05,0.0016202506475289636,True
time_32,8.858357921438785e-06,0.0011338698139441645,True
time_33,1.169909216251446e-06,0.00014974837968018508,True
time_34,8.590645478029207e-07,0.00010996026211877385,True
time_35,3.2962852504336376e-07,4.219245120555056e-05,True
time_36,1.6066821086154793e-07,2.0565530990278135e-05,True
time_37,2.0073704620699628e-07,2.5694341914495524e-05,True
time_38,6.200087840402617e-08,7.93611243571535e-06,True
time_39,1.0420264789190237e-07,1.3337938930163504e-05,True
time_40,3.979184642554204e-07,5.093356342469381e-05,True
time_41,1.2878320118689865e-07,1.6484249751923027e-05,True
time_42,6.209773073142216e-07,7.948509533622037e-05,True
time_43,6.348426804813709e-07,8.125986310161548e-05,True
time_44,7.057809968032721e-07,9.033996759081883e-05,True
time_45,9.459870910076732e-06,0.0012108634764898217,True
time_46,9.509694455652582e-06,0.0012172408903235305,True
time_47,1.5365774799497973e-05,0.0019668191743357406,True
time_48,7.3396356566111255e-06,0.0009394733640462241,True
time_49,4.955811439061677e-06,0.0006343438641998947,True
time_50,3.7367004315893114e-06,0.00047829765524343186,True
time_51,4.052026020456036e-06,0.0005186593306183726,True
time_52,8.412230087350983e-06,0.0010767654511809259,True
time_53,6.926111844592069e-06,0.0008865423161077848,True
time_54,2.8942708967960613e-06,0.00037046667478989585,True
time_55,6.08831506351963e-06,0.0007793043281305126,True
time_56,3.6802568101960064e-06,0.0004710728717050888,True
time_57,1.1964547300056952e-06,0.000153146205440729,True
time_58,7.147188006888628e-07,9.148400648817444e-05,True
time_59,1.7888868830593377e-06,0.00022897752103159523,True
time_60,3.635582614436109e-05,0.00465354574647822,True
time_61,0.0006022170221768622,0.07708377883863836,False
time_62,0.0019096921121715452,0.2444405903579578,False
time_63,0.003764355535380365,0.48183750852868673,False
time_64,0.0023150858007715625,0.29633098249876,False
time_65,0.00467617038140798,0.5985498088202215,False
time_66,0.013826721114610297,1.0,False
time_67,0.06955044972660956,1.0,False
time_68,0.3488876642420695,1.0,False
time_69,0.9983939817698416,1.0,False
time_70,0.9572349519744273,1.0,False
time_71,0.55447438446434,1.0,False
time_72,0.1621387179136322,1.0,False
time_73,0.028023121226384177,1.0,False
time_74,0.00014127782809518531,0.01808356199618372,True
time_75,9.794999812406606e-07,0.00012537599759880456,True
time_76,5.1461168498645825e-09,6.587029567826666e-07,True
time_77,4.112356130395661e-12,5.263815846906446e-10,True
time_78,5.1762636630317184e-17,6.6256174886805996e-15,True
time_79,3.0711380967565256e-20,3.931056763848353e-18,True
time_80,3.1748652659922746e-25,4.0638275404701115e-23,True
time_81,3.3465680195021294e-28,4.2836070649627257e-26,True
time_82,4.275147872130618e-31,5.472189276327191e-29,True
time_83,4.322307090901861e-36,5.532553076354382e-34,True
time_84,2.5630524125906585e-39,3.280707088116043e-37,True
time_85,5.636264993304943e-45,7.214419191430327e-43,True
time_86,4.570613236059265e-53,5.850384942155859e-51,True
time_87,7.808481151352086e-60,9.99485587373067e-58,True
time_88,1.608090391844378e-66,2.058355701560804e-64,True
time_89,3.5898346468390713e-71,4.5949883479540113e-69,True
time_90,1.053206965430548e-74,1.3481049157511014e-72,True
time_91,1.6563248912420788e-76,2.1200958607898608e-74,True
time_92,2.7036073721469333e-81,3.4606174363480747e-79,True
time_93,1.4621329605628025e-83,1.8715301895203872e-81,True
time_94,1.3263234004298037e-82,1.6976939525501488e-80,True
time_95,3.4542670311884916e-81,4.421461799921269e-79,True
time_96,7.401395541787475e-76,9.473786293487968e-74,True
time_97,3.6741180561881915e-74,4.702871111920885e-72,True
time_98,2.8715233749629754e-72,3.6755499199526086e-70,True
time_99,6.606028543312875e-70,8.45571653544048e-68,True
time_100,1.6348361023463323e-66,2.0925902110033054e-64,True
time_101,6.122211137652569e-61,7.836430256195288e-59,True
time_102,4.209964964380409e-55,5.388755154406924e-53,True
time_103,5.590587780723498e-49,7.155952359326078e-47,True
time_104,8.344200685202178e-42,1.0680576877058787e-39,True
time_105,1.0771635295876111e-34,1.3787693178721422e-32,True
time_106,7.389526230172238e-30,9.458593574620464e-28,True
time_107,1.9174238912189098e-26,2.4543025807602045e-24,True
time_108,1.4503915894677998e-23,1.8565012345187837e-21,True
time_109,3.566718403617844e-21,4.56539955663084e-19,True
time_110,1.9606844346970494e-18,2.509676076412223e-16,True
time_111,1.196313883577042e-15,1.5312817709786138e-13,True
time_112,1.338654734876453e-14,1.71347806064186e-12,True
time_113,8.490885248255121e-14,1.0868333117766555e-11,True
time_114,1.20232943564141e-12,1.5389816776210049e-10,True
time_115,2.4214546442054716e-12,3.0994619445830036e-10,True
time_116,4.4304026648804704e-12,5.670915411047002e-10,True
time_117,6.038441000292565e-12,7.729204480374483e-10,True
time_118,8.788629995842371e-12,1.1249446394678235e-09,True
time_119,1.9408363659187302e-11,2.4842705483759747e-09,True
time_120,3.705885906901219e-12,4.74353396083356e-10,True
time_121,2.844255924769513e-13,3.6406475837049764e-11,True
time_122,8.800237085678403e-15,1.1264303469668356e-12,True
time_123,1.111957019320868e-16,1.423304984730711e-14,True
time_124,9.791654121199517e-19,1.2533317275135382e-16,True
time_125,6.132087243794866e-20,7.849071672057429e-18,True
time_126,7.153103014707596e-22,9.155971858825723e-20,True
time_127,6.426297848081887e-25,8.225661245544815e-23,True
